Country,Tests,Test Pop,Density,Urban Pop,Quarantine,Schools,Restrictions,Hospital Bed,sex0,sex14,sex25,sex54,sex64,sex65plus,Sex Ratio,lung,Female Lung,Male Lung,Median Age,GDP 2018,Crime Index,Population 2020,Smoking 2016,Females 2018,Total Infected,Total Deaths,Total Recovered
Moldova,,,123.0,43.0,,,,5.8,1.06,1.06,1.07,1.01,0.85,0.62,0.95,17.13,9.21,29.88,36.7,11443671435.9024,45.7,4033.9629999999997,24.2,52.035563123928,263,2,2
Mongolia,,,2.0,67.0,,,,7.0,1.05,1.04,1.02,0.94,0.85,0.69,0.96,13.4,9.3,18.76,28.3,13066749138.3261,57.76,3278.29,25.6,50.6695447058148,12,0,0
Montenegro,,,47.0,68.0,,,,4.0,1.06,0.97,0.83,1.17,1.0,0.66,0.99,17.6,10.7,26.47,40.7,5504166666.66667,39.67,628.066,45.9,50.5590129387722,85,1,0
Morocco,,,83.0,64.0,,,,1.1,1.05,1.03,0.99,0.94,0.99,0.82,0.97,10.39,7.51,13.73,29.3,117921394402.361,49.53,36910.56,23.4,50.403847291281785,479,26,13
Namibia,,,3.0,55.0,,,,2.7,1.03,1.02,0.99,0.91,0.82,0.75,0.96,43.86,29.39,65.58,21.2,14521711633.9533,68.14,2540.905,21.4,51.55369031572929,11,0,2
Nepal,,,203.0,21.0,,,,0.3,1.04,1.07,1.0,0.82,0.95,0.86,0.95,100.75,94.59,107.64,24.1,29040398982.3466,35.7,29136.807999999997,22.8,54.535343329259604,5,0,1
Netherlands,6000.0,2855.812,508.0,92.0,,3/15/2020,3/15/2020,4.7,1.05,1.05,1.04,1.01,0.99,0.82,0.98,26.0,22.74,30.36,42.6,913658465709.125,28.54,17134.872,25.8,50.220943564781294,10930,772,253
New Zealand,584.0,8257.248287999999,18.0,87.0,3/23/2020,,,2.8,1.05,1.05,1.06,1.0,0.95,0.86,0.99,21.88,19.66,24.61,37.9,204923917869.355,40.89,4822.233,16.0,50.8377693974718,514,1,56
Nigeria,,,226.0,52.0,,,,0.3,1.06,1.05,1.04,1.05,0.95,0.91,1.04,21.14,19.65,22.75,18.4,397269616080.908,64.64,206139.58899999998,5.8,49.3361135462707,111,1,3
Norway,18062.0,300.1462186,15.0,83.0,,3/12/2020,3/12/2020,3.9,1.06,1.05,1.05,1.06,1.02,0.84,1.02,26.13,23.51,29.49,39.2,434166615431.909,33.51,5421.241,20.2,49.5246311324926,4284,25,7
Oman,,,16.0,87.0,,,,1.6,1.05,1.05,1.1,1.38,1.14,0.99,1.19,10.87,9.06,12.54,25.6,79276723016.9051,21.55,5106.626,11.1,34.0140835154787,167,0,23
Pakistan,531.0,415993.1073,287.0,35.0,,,,0.6,1.05,1.06,1.06,1.08,1.01,0.88,1.06,50.61,35.5,64.92,23.8,314588210501.063,44.58,220892.34,20.1,48.5380747169765,1597,14,29
Panama,756.0,5707.363757,58.0,68.0,,,,2.3,1.05,1.04,1.04,1.03,0.98,0.85,1.01,24.25,19.96,29.06,29.2,65055100000.0,45.47,4314.767,6.1,49.9053836510993,901,17,4
Peru,,,26.0,79.0,3/15/2020,,,1.6,1.05,1.04,1.0,0.92,0.94,0.9,0.97,17.69,14.94,20.96,28.0,222044970486.21695,64.58,32971.854,4.8,50.3377554939133,852,18,16
Philippines,1030.0,106389.3961,368.0,47.0,,,,1.0,1.05,1.04,1.04,1.03,0.84,0.72,1.01,44.52,27.04,67.56,23.5,330910343610.956,41.09,109581.07800000001,24.3,49.741657385181504,1418,71,42
Poland,7899.0,4791.3167490000005,124.0,60.0,,3/11/2020,3/20/2020,6.5,1.06,1.06,1.05,1.02,0.9,0.64,0.94,16.16,9.98,25.9,40.7,585663814824.044,29.67,37846.611000000004,28.0,51.5307073794516,1862,22,7
Portugal,,,111.0,66.0,,3/19/2020,3/19/2020,3.4,1.07,1.09,1.13,1.03,0.88,0.69,0.96,13.35,9.14,19.18,42.2,240674524464.24,30.11,10196.709,22.7,52.711961710545204,5962,119,43
Qatar,,,248.0,96.0,,,,1.2,1.02,1.03,2.64,4.91,3.38,1.71,3.41,7.87,5.37,9.21,33.2,191362087912.088,12.0,2881.053,20.6,24.4952873836765,634,1,48
Romania,3708.0,5188.158306,84.0,55.0,,,,6.3,1.06,1.06,1.05,1.02,0.88,0.68,0.95,18.8,10.65,30.05,41.1,239552516744.469,27.84,19237.691000000003,29.7,51.343743063071,1815,43,206
Saudi Arabia,,,16.0,84.0,,,,2.7,1.05,1.05,1.15,1.31,1.21,1.05,1.19,12.41,9.55,15.56,27.5,786521831571.957,28.22,34813.871,15.6,42.445847976176,1299,8,66
Serbia,,,100.0,56.0,,,,5.7,1.07,1.06,1.06,1.02,0.93,0.7,0.95,23.27,15.49,33.82,42.6,50597289146.7041,37.63,8737.371,38.9,51.002522964154,741,13,0
